params.alpha,params.loss,params.penalty,metrics.test_auc_score,metrics.test_ap_score
0.0001,hinge,elasticnet,0.7085576349360386,0.20036950438099418
0.0001,log,l2,0.711287297521189,0.20358857385402945
0.0001,log,l1,0.6822634601348817,0.1864869122380275
0.0001,log,elasticnet,0.7059543262304351,0.20057114459420397
0.0001,modified_huber,l2,0.7029170973461311,0.19533544733009955
0.0001,modified_huber,l1,0.6969811153425863,0.1886864496124186
0.0001,modified_huber,elasticnet,0.705184552521488,0.19695549484978525
0.0001,squared_hinge,l2,0.6017741233166974,0.13160154678406277
0.0001,squared_hinge,l1,0.5985458961598682,0.13038091028492094
0.0001,squared_hinge,elasticnet,0.6011650049404965,0.13136153882855237
0.0001,perceptron,l2,0.6202605338930298,0.14732900827546608
0.0001,perceptron,l1,0.6020067751741067,0.13438137799910382
0.0001,perceptron,elasticnet,0.6197430941779613,0.14643417027662692
0.001,hinge,l2,0.6968094339359788,0.194372899857494
0.001,hinge,l1,0.6241876637771218,0.14827157197810376
0.001,hinge,elasticnet,0.6809432831672457,0.18446033390451594
0.001,log,l2,0.6983525236287573,0.19464225506902694
0.001,log,l1,0.5560017944128217,0.12000736676226159
0.001,log,elasticnet,0.6688761202762873,0.17515712221948726
0.001,modified_huber,l2,0.7108519290022779,0.20356092899700723
0.001,modified_huber,l1,0.6496222932602655,0.16604946725545858
0.001,modified_huber,elasticnet,0.6968308277472423,0.19454755293598355
0.001,squared_hinge,l2,0.7108603896876139,0.20357664098523087
0.001,squared_hinge,l1,0.6374064100394696,0.14900896476651432
0.001,squared_hinge,elasticnet,0.6961487147233594,0.19453767808979386
0.001,perceptron,l2,0.6201908266803124,0.1455314683134803
0.001,perceptron,l1,0.5,0.101564675093268
0.001,perceptron,elasticnet,0.5827824713627887,0.12471269640328154
0.01,hinge,l2,0.6903678198003143,0.1876889584960815
0.01,hinge,l1,0.5,0.101564675093268
0.01,hinge,elasticnet,0.5804536762187464,0.1287734602380896
0.01,log,l2,0.692448553766466,0.18873586896830358
0.01,log,l1,0.5,0.101564675093268
0.01,log,elasticnet,0.5,0.101564675093268
0.01,modified_huber,l2,0.6972310071205672,0.19380033475046465
0.01,modified_huber,l1,0.5,0.101564675093268
0.01,modified_huber,elasticnet,0.631346108628404,0.15145305882137813
0.01,squared_hinge,l2,0.6972310071205672,0.19380033475046465
0.01,squared_hinge,l1,0.5,0.101564675093268
0.01,squared_hinge,elasticnet,0.631346108628404,0.15145305882137813
0.01,perceptron,l2,0.6250542681609119,0.14885791085325564
0.01,perceptron,l1,0.5,0.101564675093268
0.01,perceptron,elasticnet,0.5,0.101564675093268
0.0001,hinge,l2,0.711578838636722,0.20110847395901157
0.0001,hinge,l1,0.6917799684949901,0.18993642592570753
0.0001,hinge,elasticnet,0.7104795101908785,0.20043677765535442
0.0001,log,l2,0.7120129074720423,0.20270092186729705
0.0001,log,l1,0.6831167491328647,0.18693919311670426
0.0001,log,elasticnet,0.7076995252162402,0.2004236685844519
0.0001,modified_huber,l2,0.7027045311217306,0.19393174787414735
0.0001,modified_huber,l1,0.6980812805128329,0.18812513890731575
0.0001,modified_huber,elasticnet,0.7053953730924383,0.1954876084634331
0.0001,squared_hinge,l2,0.6028297849422907,0.13291298475041186
0.0001,squared_hinge,l1,0.6001080691153046,0.13181922194106926
0.0001,squared_hinge,elasticnet,0.6021867643620983,0.13262837743645678
0.0001,perceptron,l2,0.6142010054963875,0.13974354667169114
0.0001,perceptron,l1,0.5942063970596231,0.13099593367646323
0.0001,perceptron,elasticnet,0.6028140018565937,0.13491064432966127
0.001,hinge,l2,0.6980621632715194,0.1943061669487793
0.001,hinge,l1,0.6203790556923763,0.14676421061237854
0.001,hinge,elasticnet,0.683097619149555,0.18537856996820043
0.001,log,l2,0.6997004866423108,0.19444980803158757
0.001,log,l1,0.5509915184177906,0.1170196755863987
0.001,log,elasticnet,0.6703165179760683,0.1751889078993006
0.001,modified_huber,l2,0.711598529267855,0.20258135964586643
0.001,modified_huber,l1,0.6503742069381697,0.16573940534138726
0.001,modified_huber,elasticnet,0.698319513364485,0.19557797269326427
0.001,squared_hinge,l2,0.711601748745508,0.20259678900383676
0.001,squared_hinge,l1,0.6394943644700146,0.15454032692922282
0.001,squared_hinge,elasticnet,0.6977815335518841,0.19548296483878938
0.001,perceptron,l2,0.6296168583742437,0.14981169468429684
0.001,perceptron,l1,0.5,0.101564675093268
0.001,perceptron,elasticnet,0.5757661422400904,0.12883767108413333
0.01,hinge,l2,0.6915330201180826,0.18779422458905917
0.01,hinge,l1,0.5,0.101564675093268
0.01,hinge,elasticnet,0.5771174606459206,0.1254074165364084
0.01,log,l2,0.6931002261619341,0.18877361768385117
0.01,log,l1,0.5,0.101564675093268
0.01,log,elasticnet,0.5,0.101564675093268
0.01,modified_huber,l2,0.6985857064026662,0.19364761151959553
0.01,modified_huber,l1,0.5,0.101564675093268
0.01,modified_huber,elasticnet,0.6320160997667704,0.15214762429415501
0.01,squared_hinge,l2,0.6985856554346821,0.1936475051564155
0.01,squared_hinge,l1,0.5,0.101564675093268
0.01,squared_hinge,elasticnet,0.6320160997667704,0.15214762429415501
0.01,perceptron,l2,0.6225946934173828,0.14802388589678148
0.01,perceptron,l1,0.5,0.101564675093268
0.01,perceptron,elasticnet,0.5,0.101564675093268
1e-05,hinge,l2,0.7591436138475255,0.23832333162772845
1e-05,hinge,l2,0.7601918808681141,0.24665313890511958
1e-05,log,l2,0.7570887971012129,0.23594724337006595
1e-05,log,l2,0.7561975454498503,0.23901825466984344
1e-05,modified_huber,l2,0.7240765535721081,0.20460702821647792
1e-05,modified_huber,l2,0.7510448521656635,0.22493489141015854
1e-05,squared_hinge,l2,0.7444365302491587,0.2260390447181872
1e-05,squared_hinge,l2,0.7358368552210245,0.2119331148208315
1e-05,perceptron,l2,0.7548534432610811,0.23671085204708436
1e-05,perceptron,l2,0.7207349396403155,0.18832012550634464
1e-06,hinge,l2,0.7379808234659316,0.22139361682293265
1e-06,hinge,l2,0.7202168415887876,0.21132260976431005
1e-06,log,l2,0.723596290754,0.20396135519366368
1e-06,log,l2,0.7509105770119442,0.22456823982948523
1e-06,modified_huber,l2,0.7234057129673425,0.20273215140114786
1e-06,modified_huber,l2,0.6557132051930259,0.16952198656140569
1e-06,squared_hinge,l2,0.6710187208802918,0.16554800372636314
1e-06,squared_hinge,l2,0.679528760213984,0.18497450977273458
1e-06,perceptron,l2,0.7319701861078944,0.210384810990624
1e-06,perceptron,l2,0.6898738338525272,0.19175547394937964
0.1,hinge,l2,0.7192351387552396,0.20073216620128131
0.1,hinge,l2,0.713478627765183,0.1982571748822046
0.1,log,l2,0.7605661132902756,0.24039598851319488
0.1,log,l2,0.7604639904397654,0.2395443706229563
0.1,modified_huber,l2,0.7702898362364696,0.24999122037329324
0.1,modified_huber,l2,0.7595485799640097,0.2248746466929985
0.1,squared_hinge,l2,0.6009919049250022,0.14519307434790643
0.1,squared_hinge,l2,0.5990916740740135,0.14394062470869903
0.1,perceptron,l2,0.7275677670314614,0.20603524075917157
0.1,perceptron,l2,0.6735028409554253,0.15902979637619008
1.0,hinge,l2,0.754093272769777,0.2149093528885875
1.0,hinge,l2,0.7562738190378331,0.21978011092227903
1.0,log,l2,0.7525730337231364,0.22559102050678892
1.0,log,l2,0.7547078956882445,0.23126484333652972
1.0,modified_huber,l2,0.7635024213190242,0.24510900426576804
1.0,modified_huber,l2,0.7604471115424135,0.23187964280798923
1.0,squared_hinge,l2,0.5823937215598649,0.14006835210676266
1.0,squared_hinge,l2,0.5874488961014249,0.14552774859378936
1.0,perceptron,l2,0.6415977409630367,0.14890494119914516
1.0,perceptron,l2,0.6428216606456488,0.14672615346388673
10.0,hinge,l2,0.7316565631133147,0.20899992825663338
10.0,hinge,l2,0.7329416188926764,0.21038526101109944
10.0,log,l2,0.7430934134414127,0.2172884525243164
10.0,log,l2,0.7465609607668847,0.22151135577095948
10.0,modified_huber,l2,0.7551019121828433,0.2211784902995262
10.0,modified_huber,l2,0.7600666270475538,0.23467263549897321
10.0,squared_hinge,l2,0.7451885798416866,0.21963017768041487
10.0,squared_hinge,l2,0.7610849588722347,0.2335983537436842
10.0,perceptron,l2,0.6248641618281061,0.15188338986554453
10.0,perceptron,l2,0.6264688038561698,0.1497865051154715
